transaction_id,customer_email,customer_phone,customer_name,transaction_date,amount,payment_method,store_id,items_count,discount_applied
POS-A4515AE0,joelthomas@example.org,,"Brewer, Susan",2024-11-23,241.26,card,STORE-03,5,0
POS-61A66444,lauriemontgomery@example.net,2004711382,richard burch,22-01-2025,142.68,Cash,STORE-05,7,1
POS-7092D401,perezantonio@example.com,,mark tate,2024-07-14,195.97,Cash,STORE-03,5,0
POS-907276EA,,,Mark Tate,27 Oct 2024,82.04,contactless,STORE-02,3,1
POS-18C180D2,heathchad@example.org,(303) 911-7182,Crystal Perez,2023-08-12,205.82,cash,STORE-04,5,yes
POS-69FB0763,rebecca01@example.net,,Melissa Wagner,07 Sep 2023,61.02,card,STORE-05,8,0
POS-0F9CA17B,barnesbrandy@example.net,,John Wheeler,"May 04, 2026",91.67,CARD,STORE-02,5,0
POS-F7336094,ashleymorales@example.org,9533942104,michael white,12/13/2025,70.88,contactless,STORE-04,6,yes
POS-929D674D,maguirre@example.org,,Barbara Sanchez,"January 12, 2025",177.15,Cash,STORE-01,8,N
POS-6511E61A,elizabeth65@example.net,4821759464,"Willis, Angela",2026-01-27,20.95,card,STORE-02,4,yes
POS-923B7820,rebecca01@example.net,+15009788208,"Wagner, Melissa","February 19, 2026",259.41,card,STORE-01,8,yes
POS-FB95D0FC,grahamsteve@example.org,,charles hensley,02/16/2026,233.19,Cash,STORE-02,8,
POS-72F444AB,lynchgeorge@example.net,3103413164,Joseph Zuniga,04/15/2025,118.08,cash,STORE-05,4,0
POS-363E6EF4,stephen10@example.com,8108013267,RANDY POWERS,2023-12-12,6.22,card,STORE-02,6,yes
POS-140FF589,icox@example.net,,"Patterson, Julie",2025-11-08,248.03,contactless,STORE-03,8,0
POS-D2938E6E,ericolson@example.org,436-713-6959,LARRY GARCIA,"May 24, 2026",298.86,CARD,STORE-03,4,N
POS-51DB1A37,prestonjulia@example.org,,"Taylor, Sheila",2025-04-23,221.55,Cash,STORE-05,3,Y
POS-16476E3F,stephen10@example.com,8108013267,Randy Powers,2026-02-28,180.21,cash,STORE-01,1,Y
POS-DB4BB8EB,wwebster@example.net,+15064317139,Stephanie Burton,2024-08-04,50.17,cash,STORE-03,7,0
POS-032A461A,perezantonio@example.com,,"Tate, Mark","April 03, 2024",250.04,cash,STORE-05,2,yes
POS-C81C8D31,pwilkerson@example.com,+13276483503,Leonard Rios,2025-10-15,292.07,contactless,STORE-04,5,N
POS-910C4CB7,jasongallagher@example.org,,helen peterson,"September 07, 2024",5.81,cash,STORE-01,8,N
POS-19A6F80E,,3103413164,Joseph Zuniga,"March 11, 2025",139.74,contactless,STORE-03,8,Y
POS-C926A021,perezantonio@example.com,,Mark Tate,03/15/2026,130.67,cash,STORE-01,1,Y
POS-E0BDA1EE,icox@example.net,,julie patterson,04/14/2024,221.26,contactless,STORE-03,3,Y
POS-92701D60,prestonjulia@example.org,,Sheila Taylor,29 Aug 2024,240.97,card,STORE-01,3,0
POS-67294D3C,smiller@example.net,235-116-1559,Jessica Herrera,04/03/2025,134.26,Cash,STORE-04,6,1
POS-66D71D97,jennifermiles@example.com,,Jesse Guzman,11/10/2023,23.68,contactless,STORE-01,4,0
POS-B0C58278,brianromero@example.org,(667) 010-6513,"Farrell, Wesley","July 18, 2023",200.21,card,STORE-04,6,0
POS-44C1F1B5,joelthomas@example.org,1-405-377-3515,Susan Brewer,21 Feb 2024,8.44,card,STORE-05,8,
POS-CB2CC805,,3792374740,"Scott, Larry",02/13/2026,291.19,cash,STORE-05,4,1
POS-DBB54645,lauriemontgomery@example.net,,Richard Burch,03 May 2024,137.19,CARD,STORE-04,6,Y
POS-3A5B6AC5,gloriawells@example.org,3792374740,LARRY SCOTT,2025-07-08,31.81,Cash,STORE-05,5,1
POS-C626E38F,ashleymorales@example.org,9533942104,Michael White,10/31/2023,245.89,CARD,STORE-03,8,0
POS-9ADFE981,julie35@example.org,,richard miller,27-11-2025,105.7,contactless,STORE-05,6,0
POS-E9D6BB7E,perezantonio@example.com,,Mark Tate,2025-05-13,125.72,contactless,STORE-05,4,N
POS-84396FC0,pwilkerson@example.com,+13276483503,"Rios, Leonard",25 Nov 2025,104.69,CARD,STORE-01,2,
POS-CA9F1D59,bobbydiaz@example.org,,"Hernandez, Brandi",11 Jan 2026,152.15,Cash,STORE-01,7,
POS-67443FB8,ctucker@example.com,+18588424745,Christopher Ramos,27 Nov 2023,56.23,card,STORE-01,7,0
